afrikaans-afribooms-ud-2.10-220711 raw_text Tokens:99.78 Sentences:98.59 Words:99.78 UPOS:98.58 XPOS:95.46 UFeats:98.13 AllTags:95.33 Lemmas:97.43 UAS:90.10 LAS:87.23 CLAS:82.16 MLAS:78.64 BLEX:78.59
chinese-gsd-ud-2.10-220711 raw_text Tokens:90.27 Sentences:99.10 Words:90.27 UPOS:87.15 XPOS:87.05 UFeats:89.71 AllTags:86.36 Lemmas:90.27 UAS:72.85 LAS:70.29 CLAS:66.89 MLAS:63.41 BLEX:66.89
chinese-gsd-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.21 XPOS:96.08 UFeats:99.40 AllTags:95.34 Lemmas:99.99 UAS:87.15 LAS:83.96 CLAS:82.60 MLAS:78.41 BLEX:82.59
classical_chinese-kyoto-ud-2.10-220711 raw_text Tokens:97.26 Sentences:40.71 Words:97.26 UPOS:87.40 XPOS:86.48 UFeats:89.97 AllTags:83.27 Lemmas:96.78 UAS:67.56 LAS:62.17 CLAS:60.83 MLAS:58.02 BLEX:60.60
classical_chinese-kyoto-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:92.30 XPOS:90.87 UFeats:93.94 AllTags:88.19 Lemmas:99.47 UAS:83.16 LAS:77.63 CLAS:76.82 MLAS:73.15 BLEX:76.42
coptic-scriptorium-ud-2.10-220711 raw_text Tokens:100.00 Sentences:33.87 Words:74.49 UPOS:72.43 XPOS:72.34 UFeats:72.53 AllTags:71.54 Lemmas:72.91 UAS:51.25 LAS:49.43 CLAS:39.61 MLAS:36.55 BLEX:39.14
coptic-scriptorium-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.94 XPOS:96.78 UFeats:97.49 AllTags:95.50 Lemmas:97.02 UAS:90.48 LAS:87.70 CLAS:81.89 MLAS:76.04 BLEX:79.57
croatian-set-ud-2.10-220711 raw_text Tokens:99.93 Sentences:94.79 Words:99.93 UPOS:98.48 XPOS:95.72 UFeats:96.23 AllTags:95.49 Lemmas:97.60 UAS:92.17 LAS:89.27 CLAS:87.09 MLAS:81.53 BLEX:84.23
croatian-set-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.54 XPOS:95.80 UFeats:96.30 AllTags:95.56 Lemmas:97.68 UAS:92.67 LAS:89.75 CLAS:87.55 MLAS:81.92 BLEX:84.69
czech-pdt-ud-2.10-220711 raw_text Tokens:99.94 Sentences:93.74 Words:99.94 UPOS:99.37 XPOS:98.40 UFeats:98.33 AllTags:98.02 Lemmas:99.21 UAS:94.90 LAS:93.50 CLAS:92.72 MLAS:90.28 BLEX:91.88
czech-pdt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.45 XPOS:98.47 UFeats:98.40 AllTags:98.09 Lemmas:99.28 UAS:95.63 LAS:94.23 CLAS:93.35 MLAS:90.88 BLEX:92.50
czech-cac-ud-2.10-220711 raw_text Tokens:100.00 Sentences:99.68 Words:99.99 UPOS:99.72 XPOS:98.57 UFeats:98.37 AllTags:98.12 Lemmas:99.18 UAS:96.12 LAS:94.76 CLAS:93.70 MLAS:91.09 BLEX:92.67
czech-cac-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.73 XPOS:98.58 UFeats:98.38 AllTags:98.13 Lemmas:99.19 UAS:96.12 LAS:94.76 CLAS:93.72 MLAS:91.11 BLEX:92.69
czech-cltt-ud-2.10-220711 raw_text Tokens:99.71 Sentences:97.79 Words:99.71 UPOS:99.22 XPOS:95.32 UFeats:95.23 AllTags:95.03 Lemmas:99.18 UAS:90.77 LAS:89.24 CLAS:86.69 MLAS:81.35 BLEX:86.22
czech-cltt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.47 XPOS:95.47 UFeats:95.40 AllTags:95.18 Lemmas:99.47 UAS:91.20 LAS:89.68 CLAS:87.20 MLAS:81.67 BLEX:86.73
czech-fictree-ud-2.10-220711 raw_text Tokens:99.99 Sentences:98.95 Words:99.99 UPOS:99.17 XPOS:97.06 UFeats:97.83 AllTags:96.86 Lemmas:99.35 UAS:96.38 LAS:94.91 CLAS:93.68 MLAS:89.61 BLEX:92.81
czech-fictree-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.18 XPOS:97.08 UFeats:97.84 AllTags:96.88 Lemmas:99.36 UAS:96.46 LAS:94.97 CLAS:93.79 MLAS:89.71 BLEX:92.91
danish-ddt-ud-2.10-220711 raw_text Tokens:99.81 Sentences:89.78 Words:99.81 UPOS:97.95 XPOS:99.81 UFeats:97.29 AllTags:96.54 Lemmas:97.26 UAS:88.27 LAS:86.25 CLAS:83.97 MLAS:79.22 BLEX:80.96
danish-ddt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.16 XPOS:100.00 UFeats:97.53 AllTags:96.79 Lemmas:97.45 UAS:89.46 LAS:87.42 CLAS:85.26 MLAS:80.42 BLEX:82.17
dutch-alpino-ud-2.10-220711 raw_text Tokens:99.83 Sentences:88.98 Words:99.83 UPOS:97.86 XPOS:96.79 UFeats:97.80 AllTags:96.29 Lemmas:95.11 UAS:92.95 LAS:90.58 CLAS:86.61 MLAS:83.15 BLEX:79.88
dutch-alpino-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.97 XPOS:96.87 UFeats:97.91 AllTags:96.41 Lemmas:95.26 UAS:94.00 LAS:91.63 CLAS:87.73 MLAS:84.17 BLEX:80.83
dutch-lassysmall-ud-2.10-220711 raw_text Tokens:99.80 Sentences:74.93 Words:99.80 UPOS:96.98 XPOS:95.62 UFeats:96.63 AllTags:94.88 Lemmas:95.70 UAS:90.61 LAS:87.94 CLAS:83.28 MLAS:79.67 BLEX:78.25
dutch-lassysmall-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.25 XPOS:96.43 UFeats:97.36 AllTags:95.83 Lemmas:95.97 UAS:94.51 LAS:91.66 CLAS:88.45 MLAS:84.48 BLEX:83.08
english-ewt-ud-2.10-220711 raw_text Tokens:99.17 Sentences:87.02 Words:98.95 UPOS:96.39 XPOS:96.13 UFeats:96.53 AllTags:94.80 Lemmas:97.13 UAS:90.07 LAS:88.10 CLAS:85.47 MLAS:81.47 BLEX:83.42
english-ewt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.35 XPOS:97.06 UFeats:97.52 AllTags:95.71 Lemmas:98.07 UAS:92.62 LAS:90.56 CLAS:88.15 MLAS:84.02 BLEX:85.98
english-atis-ud-2.10-220711 raw_text Tokens:100.00 Sentences:81.96 Words:100.00 UPOS:98.97 XPOS:100.00 UFeats:98.54 AllTags:98.13 Lemmas:99.94 UAS:94.39 LAS:92.92 CLAS:90.48 MLAS:87.85 BLEX:90.39
english-atis-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.97 XPOS:100.00 UFeats:98.56 AllTags:98.15 Lemmas:99.94 UAS:95.88 LAS:94.26 CLAS:92.50 MLAS:89.80 BLEX:92.40
english-gum-ud-2.10-220711 raw_text Tokens:99.68 Sentences:95.36 Words:99.64 UPOS:97.95 XPOS:97.91 UFeats:97.88 AllTags:96.91 Lemmas:98.77 UAS:92.30 LAS:90.35 CLAS:87.33 MLAS:84.63 BLEX:86.31
english-gum-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.27 XPOS:98.26 UFeats:98.22 AllTags:97.24 Lemmas:99.09 UAS:93.17 LAS:91.19 CLAS:88.17 MLAS:85.42 BLEX:87.04
english-lines-ud-2.10-220711 raw_text Tokens:99.92 Sentences:87.45 Words:99.92 UPOS:97.71 XPOS:96.77 UFeats:97.02 AllTags:94.41 Lemmas:98.40 UAS:91.17 LAS:88.22 CLAS:85.36 MLAS:80.27 BLEX:83.45
english-lines-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.79 XPOS:96.84 UFeats:97.07 AllTags:94.48 Lemmas:98.47 UAS:92.10 LAS:89.17 CLAS:86.35 MLAS:81.05 BLEX:84.36
english-partut-ud-2.10-220711 raw_text Tokens:99.78 Sentences:100.00 Words:99.72 UPOS:97.23 XPOS:97.11 UFeats:96.35 AllTags:95.26 Lemmas:98.14 UAS:94.24 LAS:92.21 CLAS:88.96 MLAS:83.35 BLEX:87.34
english-partut-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.48 XPOS:97.36 UFeats:96.60 AllTags:95.51 Lemmas:98.42 UAS:94.48 LAS:92.46 CLAS:89.24 MLAS:83.74 BLEX:87.62
estonian-edt-ud-2.10-220711 raw_text Tokens:99.95 Sentences:92.03 Words:99.95 UPOS:97.68 XPOS:98.31 UFeats:96.28 AllTags:95.07 Lemmas:95.36 UAS:88.81 LAS:86.16 CLAS:84.65 MLAS:79.92 BLEX:79.56
estonian-edt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.81 XPOS:98.36 UFeats:96.36 AllTags:95.19 Lemmas:95.43 UAS:89.71 LAS:87.03 CLAS:85.53 MLAS:80.77 BLEX:80.37
estonian-ewt-ud-2.10-220711 raw_text Tokens:98.82 Sentences:75.26 Words:98.82 UPOS:95.41 XPOS:96.29 UFeats:94.06 AllTags:91.92 Lemmas:93.86 UAS:82.62 LAS:79.30 CLAS:77.43 MLAS:71.40 BLEX:72.35
estonian-ewt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.65 XPOS:97.43 UFeats:95.15 AllTags:93.10 Lemmas:94.97 UAS:86.76 LAS:83.25 CLAS:80.95 MLAS:74.79 BLEX:75.57
faroese-farpahc-ud-2.10-220711 raw_text Tokens:99.74 Sentences:92.77 Words:99.74 UPOS:97.44 XPOS:93.04 UFeats:94.43 AllTags:92.50 Lemmas:99.74 UAS:85.76 LAS:82.13 CLAS:75.34 MLAS:68.07 BLEX:75.34
faroese-farpahc-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.64 XPOS:93.28 UFeats:94.68 AllTags:92.72 Lemmas:100.00 UAS:86.82 LAS:83.10 CLAS:76.51 MLAS:69.17 BLEX:76.51
finnish-tdt-ud-2.10-220711 raw_text Tokens:99.71 Sentences:90.82 Words:99.70 UPOS:97.58 XPOS:98.18 UFeats:95.99 AllTags:95.10 Lemmas:92.14 UAS:90.20 LAS:88.18 CLAS:86.83 MLAS:82.19 BLEX:78.16
finnish-tdt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.92 XPOS:98.49 UFeats:96.29 AllTags:95.43 Lemmas:92.46 UAS:91.51 LAS:89.46 CLAS:87.89 MLAS:83.20 BLEX:79.17
finnish-ftb-ud-2.10-220711 raw_text Tokens:99.92 Sentences:86.84 Words:99.91 UPOS:96.69 XPOS:95.14 UFeats:96.83 AllTags:94.02 Lemmas:95.57 UAS:89.80 LAS:87.18 CLAS:84.33 MLAS:80.04 BLEX:80.49
finnish-ftb-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.00 XPOS:95.36 UFeats:96.92 AllTags:94.32 Lemmas:95.67 UAS:91.91 LAS:89.23 CLAS:86.83 MLAS:82.55 BLEX:82.84
french-gsd-ud-2.10-220711 raw_text Tokens:99.64 Sentences:94.69 Words:98.78 UPOS:97.26 XPOS:98.78 UFeats:97.35 AllTags:96.63 Lemmas:97.55 UAS:92.76 LAS:90.82 CLAS:87.90 MLAS:84.55 BLEX:86.32
french-gsd-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.44 XPOS:100.00 UFeats:98.47 AllTags:97.71 Lemmas:98.75 UAS:94.55 LAS:92.71 CLAS:89.22 MLAS:86.34 BLEX:87.59
french-parisstories-ud-2.10-220711 raw_text Tokens:99.82 Sentences:87.87 Words:99.49 UPOS:96.24 XPOS:99.49 UFeats:94.41 AllTags:92.17 Lemmas:97.55 UAS:79.95 LAS:74.84 CLAS:69.99 MLAS:61.23 BLEX:68.35
french-parisstories-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.81 XPOS:100.00 UFeats:94.90 AllTags:92.68 Lemmas:97.98 UAS:81.67 LAS:76.50 CLAS:70.99 MLAS:62.46 BLEX:69.32
french-partut-ud-2.10-220711 raw_text Tokens:99.94 Sentences:100.00 Words:99.48 UPOS:97.26 XPOS:96.76 UFeats:94.72 AllTags:93.96 Lemmas:97.33 UAS:94.72 LAS:92.81 CLAS:89.62 MLAS:81.09 BLEX:86.22
french-partut-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.89 XPOS:97.35 UFeats:95.27 AllTags:94.51 Lemmas:97.89 UAS:95.62 LAS:93.85 CLAS:90.63 MLAS:82.18 BLEX:87.24
french-rhapsodie-ud-2.10-220711 raw_text Tokens:99.83 Sentences:99.47 Words:99.22 UPOS:97.20 XPOS:97.45 UFeats:96.12 AllTags:93.30 Lemmas:98.26 UAS:88.71 LAS:84.99 CLAS:80.79 MLAS:75.15 BLEX:79.88
french-rhapsodie-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.00 XPOS:98.13 UFeats:96.89 AllTags:93.97 Lemmas:98.99 UAS:89.89 LAS:86.08 CLAS:81.29 MLAS:75.91 BLEX:80.35
french-sequoia-ud-2.10-220711 raw_text Tokens:99.86 Sentences:84.02 Words:99.15 UPOS:98.32 XPOS:99.15 UFeats:97.15 AllTags:96.68 Lemmas:98.33 UAS:93.60 LAS:92.22 CLAS:90.05 MLAS:86.08 BLEX:89.00
french-sequoia-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.24 XPOS:100.00 UFeats:97.95 AllTags:97.54 Lemmas:99.13 UAS:95.43 LAS:94.11 CLAS:91.57 MLAS:88.00 BLEX:90.34
galician-ctg-ud-2.10-220711 raw_text Tokens:99.90 Sentences:97.22 Words:99.22 UPOS:97.28 XPOS:97.05 UFeats:99.06 AllTags:96.70 Lemmas:98.04 UAS:85.59 LAS:83.20 CLAS:78.15 MLAS:72.11 BLEX:76.94
galician-ctg-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.01 XPOS:97.78 UFeats:99.84 AllTags:97.41 Lemmas:98.79 UAS:87.31 LAS:84.80 CLAS:80.10 MLAS:74.04 BLEX:78.88
galician-treegal-ud-2.10-220711 raw_text Tokens:99.69 Sentences:87.99 Words:98.74 UPOS:96.00 XPOS:93.69 UFeats:94.85 AllTags:92.82 Lemmas:96.67 UAS:83.44 LAS:79.36 CLAS:73.85 MLAS:67.82 BLEX:71.68
galician-treegal-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.19 XPOS:94.83 UFeats:95.94 AllTags:93.91 Lemmas:97.86 UAS:86.75 LAS:82.40 CLAS:77.86 MLAS:71.30 BLEX:75.54
german-hdt-ud-2.10-220711 raw_text Tokens:99.91 Sentences:92.34 Words:99.90 UPOS:98.51 XPOS:98.45 UFeats:94.08 AllTags:93.70 Lemmas:97.16 UAS:96.94 LAS:96.04 CLAS:94.07 MLAS:84.79 BLEX:90.40
german-hdt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.62 XPOS:98.58 UFeats:94.22 AllTags:93.83 Lemmas:97.26 UAS:97.63 LAS:96.75 CLAS:94.81 MLAS:85.46 BLEX:91.08
german-gsd-ud-2.10-220711 raw_text Tokens:99.81 Sentences:81.12 Words:99.81 UPOS:95.78 XPOS:97.68 UFeats:90.23 AllTags:87.27 Lemmas:96.75 UAS:87.32 LAS:83.12 CLAS:78.97 MLAS:63.79 BLEX:75.00
german-gsd-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:95.94 XPOS:97.87 UFeats:90.60 AllTags:87.60 Lemmas:96.96 UAS:89.28 LAS:85.04 CLAS:80.96 MLAS:65.33 BLEX:76.75
gothic-proiel-ud-2.10-220711 raw_text Tokens:100.00 Sentences:31.12 Words:100.00 UPOS:96.48 XPOS:96.98 UFeats:90.08 AllTags:88.19 Lemmas:94.62 UAS:74.17 LAS:68.40 CLAS:65.50 MLAS:55.39 BLEX:62.02
gothic-proiel-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.97 XPOS:97.42 UFeats:90.90 AllTags:89.33 Lemmas:94.71 UAS:84.11 LAS:78.29 CLAS:75.45 MLAS:65.73 BLEX:71.10
greek-gdt-ud-2.10-220711 raw_text Tokens:99.88 Sentences:90.19 Words:99.87 UPOS:98.09 XPOS:98.10 UFeats:95.60 AllTags:95.01 Lemmas:95.61 UAS:93.05 LAS:91.24 CLAS:87.69 MLAS:81.58 BLEX:81.04
greek-gdt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.23 XPOS:98.24 UFeats:95.79 AllTags:95.20 Lemmas:95.70 UAS:93.85 LAS:92.04 CLAS:88.57 MLAS:82.28 BLEX:81.75
hebrew-htb-ud-2.10-220711 raw_text Tokens:99.97 Sentences:99.39 Words:85.05 UPOS:82.78 XPOS:82.80 UFeats:81.23 AllTags:80.53 Lemmas:82.91 UAS:70.63 LAS:68.13 CLAS:61.58 MLAS:55.31 BLEX:59.44
hebrew-htb-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.44 XPOS:97.42 UFeats:95.73 AllTags:95.05 Lemmas:97.34 UAS:92.71 LAS:90.24 CLAS:85.28 MLAS:78.77 BLEX:81.80
hebrew-iahltwiki-ud-2.10-220711 raw_text Tokens:99.59 Sentences:97.16 Words:88.54 UPOS:85.97 XPOS:86.00 UFeats:80.55 AllTags:79.47 Lemmas:87.15 UAS:76.16 LAS:74.19 CLAS:68.39 MLAS:56.91 BLEX:66.92
hebrew-iahltwiki-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.09 XPOS:97.10 UFeats:91.59 AllTags:90.41 Lemmas:98.24 UAS:93.88 LAS:91.45 CLAS:87.75 MLAS:74.27 BLEX:85.44
hindi-hdtb-ud-2.10-220711 raw_text Tokens:100.00 Sentences:98.90 Words:100.00 UPOS:97.57 XPOS:97.12 UFeats:94.16 AllTags:92.23 Lemmas:98.92 UAS:95.30 LAS:92.32 CLAS:88.95 MLAS:79.20 BLEX:87.66
hindi-hdtb-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.58 XPOS:97.14 UFeats:94.18 AllTags:92.26 Lemmas:98.92 UAS:95.42 LAS:92.44 CLAS:89.10 MLAS:79.35 BLEX:87.81
hungarian-szeged-ud-2.10-220711 raw_text Tokens:99.85 Sentences:95.89 Words:99.85 UPOS:96.68 XPOS:99.85 UFeats:94.22 AllTags:93.53 Lemmas:94.92 UAS:88.81 LAS:85.09 CLAS:84.07 MLAS:75.22 BLEX:78.19
hungarian-szeged-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.79 XPOS:100.00 UFeats:94.36 AllTags:93.64 Lemmas:95.04 UAS:89.31 LAS:85.54 CLAS:84.36 MLAS:75.51 BLEX:78.47
icelandic-icepahc-ud-2.10-220711 raw_text Tokens:99.88 Sentences:92.15 Words:99.82 UPOS:96.90 XPOS:93.24 UFeats:91.32 AllTags:86.42 Lemmas:95.99 UAS:87.21 LAS:83.36 CLAS:77.97 MLAS:65.98 BLEX:74.25
icelandic-icepahc-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.08 XPOS:93.45 UFeats:91.47 AllTags:86.61 Lemmas:96.15 UAS:87.78 LAS:83.87 CLAS:78.62 MLAS:66.49 BLEX:74.84
icelandic-modern-ud-2.10-220711 raw_text Tokens:99.92 Sentences:99.22 Words:99.92 UPOS:99.07 XPOS:98.14 UFeats:98.38 AllTags:97.88 Lemmas:98.91 UAS:94.41 LAS:93.17 CLAS:91.14 MLAS:89.31 BLEX:90.07
icelandic-modern-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.14 XPOS:98.21 UFeats:98.45 AllTags:97.95 Lemmas:98.98 UAS:94.50 LAS:93.26 CLAS:91.23 MLAS:89.41 BLEX:90.16
indonesian-gsd-ud-2.10-220711 raw_text Tokens:99.87 Sentences:92.90 Words:99.48 UPOS:94.23 XPOS:93.81 UFeats:95.53 AllTags:88.78 Lemmas:98.13 UAS:87.65 LAS:81.59 CLAS:78.08 MLAS:72.35 BLEX:77.02
